Epoch: 1, lr: 2.00e-04, hubert_lr: 1.00e-05 - train loss: 9.42e-01 - valid loss: 4.51e-01, valid error_rate: 1.33e-01
Epoch: 2, lr: 2.00e-04, hubert_lr: 1.00e-05 - train loss: 3.46e-01 - valid loss: 8.24e-02, valid error_rate: 0.00e+00
Epoch: 3, lr: 2.00e-04, hubert_lr: 1.00e-05 - train loss: 6.53e-02 - valid loss: 3.43e-01, valid error_rate: 6.67e-02
Epoch: 4, lr: 2.00e-04, hubert_lr: 9.00e-06 - train loss: 1.45e-02 - valid loss: 1.08e-03, valid error_rate: 0.00e+00
Epoch: 5, lr: 2.00e-04, hubert_lr: 9.00e-06 - train loss: 2.15e-02 - valid loss: 4.12e-01, valid error_rate: 6.67e-02
Epoch: 6, lr: 2.00e-04, hubert_lr: 8.10e-06 - train loss: 7.79e-03 - valid loss: 2.03e-04, valid error_rate: 0.00e+00
Epoch: 7, lr: 2.00e-04, hubert_lr: 8.10e-06 - train loss: 2.84e-02 - valid loss: 1.42e-04, valid error_rate: 0.00e+00
Epoch: 8, lr: 1.80e-04, hubert_lr: 7.29e-06 - train loss: 9.48e-02 - valid loss: 7.52e-05, valid error_rate: 0.00e+00
Epoch: 9, lr: 1.80e-04, hubert_lr: 6.56e-06 - train loss: 2.31e-03 - valid loss: 1.93e-04, valid error_rate: 0.00e+00
Epoch: 10, lr: 1.80e-04, hubert_lr: 5.90e-06 - train loss: 1.73e-03 - valid loss: 2.67e-01, valid error_rate: 6.67e-02
Epoch: 11, lr: 1.62e-04, hubert_lr: 5.31e-06 - train loss: 2.38e-03 - valid loss: 2.83e-01, valid error_rate: 6.67e-02
Epoch: 12, lr: 1.62e-04, hubert_lr: 4.78e-06 - train loss: 7.37e-04 - valid loss: 3.04e-02, valid error_rate: 0.00e+00
Epoch: 13, lr: 1.62e-04, hubert_lr: 4.78e-06 - train loss: 5.24e-03 - valid loss: 5.84e-05, valid error_rate: 0.00e+00
Epoch: 14, lr: 1.62e-04, hubert_lr: 4.30e-06 - train loss: 2.95e-03 - valid loss: 3.01e-05, valid error_rate: 0.00e+00
Epoch: 15, lr: 1.46e-04, hubert_lr: 3.87e-06 - train loss: 6.30e-04 - valid loss: 2.67e-05, valid error_rate: 0.00e+00
Epoch: 16, lr: 1.46e-04, hubert_lr: 3.49e-06 - train loss: 1.09e-02 - valid loss: 2.45e-05, valid error_rate: 0.00e+00
Epoch: 17, lr: 1.46e-04, hubert_lr: 3.14e-06 - train loss: 3.76e-04 - valid loss: 3.92e-05, valid error_rate: 0.00e+00
Epoch: 18, lr: 1.31e-04, hubert_lr: 2.82e-06 - train loss: 6.36e-04 - valid loss: 2.99e-05, valid error_rate: 0.00e+00
Epoch: 19, lr: 1.31e-04, hubert_lr: 2.54e-06 - train loss: 8.30e-02 - valid loss: 2.14e-05, valid error_rate: 0.00e+00
Epoch: 20, lr: 1.31e-04, hubert_lr: 2.29e-06 - train loss: 2.49e-04 - valid loss: 1.98e-05, valid error_rate: 0.00e+00
Epoch: 21, lr: 1.18e-04, hubert_lr: 2.06e-06 - train loss: 5.73e-04 - valid loss: 1.91e-05, valid error_rate: 0.00e+00
Epoch: 22, lr: 1.18e-04, hubert_lr: 1.85e-06 - train loss: 4.35e-03 - valid loss: 1.73e-05, valid error_rate: 0.00e+00
Epoch: 23, lr: 1.18e-04, hubert_lr: 1.67e-06 - train loss: 5.16e-04 - valid loss: 1.65e-05, valid error_rate: 0.00e+00
Epoch: 24, lr: 1.06e-04, hubert_lr: 1.50e-06 - train loss: 5.42e-04 - valid loss: 1.57e-05, valid error_rate: 0.00e+00
Epoch: 25, lr: 1.06e-04, hubert_lr: 1.35e-06 - train loss: 4.59e-04 - valid loss: 1.49e-05, valid error_rate: 0.00e+00
Epoch: 26, lr: 1.06e-04, hubert_lr: 1.22e-06 - train loss: 3.32e-04 - valid loss: 1.45e-05, valid error_rate: 0.00e+00
Epoch: 27, lr: 9.57e-05, hubert_lr: 1.09e-06 - train loss: 3.72e-04 - valid loss: 1.42e-05, valid error_rate: 0.00e+00
Epoch: 28, lr: 9.57e-05, hubert_lr: 9.85e-07 - train loss: 1.82e-04 - valid loss: 1.39e-05, valid error_rate: 0.00e+00
Epoch: 29, lr: 9.57e-05, hubert_lr: 8.86e-07 - train loss: 2.79e-04 - valid loss: 1.35e-05, valid error_rate: 0.00e+00
Epoch: 30, lr: 8.61e-05, hubert_lr: 7.98e-07 - train loss: 2.91e-04 - valid loss: 1.33e-05, valid error_rate: 0.00e+00
Epoch loaded: 30 - test loss: 1.64e-05, test error_rate: 0.00e+00
